id,name,slug,region,lat,lng,tideStationId,tideId,tideDistNm,nearestTide,nearestTideNm,currentStationId,curDistNm,resolution,flag
e94ec079-cb0f-4cac-aed4-665d3cd1e482,Squibnocket: Southern Stones Trolling,vineyard-sound-squibnocket-southern-stones-trolling,,41.3045,-70.767,Boston HW/LW (8443970),8443970,64.3,PENIKESE ISLAND (8448248),11.2,ACT1836,10.9,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
e9899abf-49f0-4991-84d0-a0c3c8101103,Stage Harbor / Hardings: Hardings Drop Tubes,monomoy-shoals-stage-harbor-hardings-hardings-drop-tubes,Monomoy,41.6637,-69.9971,Boston HW/LW (8443970),8443970,62.6,"Barnstable Harbor, Beach Point (8447335)",13.4,ACT1626,6.9,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
e9c8f269-bc32-48c5-80e0-86e36f89b456,Falmouth Inner Harbor,falmouth-inner-harbor-boat-ramp,,,,,,,,,,,UNSERVABLE-NO-DATA,
eb6475cc-66e7-44d8-bd41-b3481e5fb6ba,The Race / Race Point: Casting the Rip Seam,cape-cod-bay-the-race-race-point-casting-the-rip-seam,,42.0627,-70.2499,Barnstable HW/LW (8447335),8447335,20.5,"Barnstable Harbor, Beach Point (8447335)",20.5,ACT1546,20.2,SERVABLE-EXPLICIT,FAR
ec04609a-7bac-4440-9914-058a0088d738,Bishop and Clerks,nantucket-sound-bishop-and-clerks,,41.575,-70.25,Boston HW/LW (8443970),8443970,58.9,"Barnstable Harbor, Beach Point (8447335)",8.9,BOS1111,55.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
edcf08ba-9ce7-403a-962d-21c547492253,Middle Ground: Crown Gully Casting,vineyard-sound-middle-ground-crown-gully-casting,,41.4845,-70.6153,Boston HW/LW (8443970),8443970,55.7,PENIKESE ISLAND (8448248),13.9,ACT1836,2.4,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
f03da5b8-2838-44c5-b889-519dd285f91f,Middle Ground,vineyard-sound-middle-ground,,41.4831,-70.627,Boston HW/LW (8443970),8443970,55.6,PENIKESE ISLAND (8448248),13.4,ACT1836,1.9,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
f08af273-ddb5-41da-8bff-982ba037d222,Stage Harbor / Hardings: Inshore Cast,monomoy-shoals-stage-harbor-hardings-inshore-cast,Monomoy,41.6637,-69.9971,Boston HW/LW (8443970),8443970,62.6,"Barnstable Harbor, Beach Point (8447335)",13.4,ACT1626,6.9,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
f3a26f66-7452-48e7-becb-96a146946084,Scorton Ledge: Night Jigging,cape-cod-bay-scorton-ledge-night-jigging,,41.7577,-70.4244,Barnstable HW/LW (8447335),8447335,6.6,"Barnstable Harbor, Beach Point (8447335)",6.6,ACT1546,7.0,SERVABLE-EXPLICIT,
f3c7da0b-b243-4646-b07a-676a6ab73f85,Scorton Ledge: Old Harbor Outflow,cape-cod-bay-scorton-ledge-old-harbor-outflow,,41.7655,-70.4735,Barnstable HW/LW (8447335),8447335,8.8,Buzzards Bay (8447270),6.6,ACT1546,9.3,SERVABLE-EXPLICIT,
f41791e2-e3a7-4964-a688-bfa17e871805,Horseshoe Shoal: Swing Casting The Crown,nantucket-sound-horseshoe-shoal-swing-casting-the-crown,,41.5086,-70.3932,Boston HW/LW (8443970),8443970,58.6,"Barnstable Harbor, Beach Point (8447335)",13.7,ACT1736,5.5,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
f47954bb-513d-430f-9dc9-d21dc11252f0,Billingsgate Shoal: Deep Swimmers,cape-cod-bay-billingsgate-shoal-deep-swimmers,,41.8396,-70.1541,Barnstable HW/LW (8447335),8447335,9.2,"Barnstable Harbor, Beach Point (8447335)",9.2,ACT1546,8.6,SERVABLE-EXPLICIT,
f62268b7-236b-466e-8b1d-b1d853f79009,Eldridge Shoal: Plugging The Seam,nantucket-sound-eldridge-shoal-plugging-the-seam,,41.5217,-70.4232,Boston HW/LW (8443970),8443970,57.3,"Barnstable Harbor, Beach Point (8447335)",13.5,ACT1761,0.7,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
f89ffa98-5da7-491d-bb27-592f77cab872,Noman's Land: Fluke Shoal Drifts,vineyard-sound-noman-s-land-fluke-shoal-drifts,,41.2586,-70.7895,Boston HW/LW (8443970),8443970,66.8,PENIKESE ISLAND (8448248),12.9,ACT1866,7.1,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
fb500867-5c1c-4dad-824e-fbfc9d639e5e,Elizabeth Islands: Drifting Edge Open Water Albies,elizabeth-islands-elizabeth-islands-drifting-edge-open-water-albies,Elizabeth Islands,41.4513,-70.7762,Boston HW/LW (8443970),8443970,55.6,PENIKESE ISLAND (8448248),6.5,ACT1841,2.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
spot-west-end-of-the-canal,Buzzards Bay: West End of the Canal,west-end-of-the-canal,,41.7285,-70.6369,8447270,8447270,1.2,Buzzards Bay (8447270),1.2,COD0905,0.3,SERVABLE-EXPLICIT,
